S,id,areaname,parentid,shortname,level,sort,lng,lat,pop,GDP
,320300,东营市,370000,东营,2,3,118.664711,37.434563,,
,320400,焦作市,410000,焦作,2,3,113.238266,35.23904,,
,320700,东沙群岛,440000,东沙,2,3,112.552948,21.810463,,
,320800,崇左市,450000,崇左,2,3,107.353928,22.404108,,
,320900,昌江黎族自治县,460000,昌江,2,3,109.053352,19.260967,,
,321200,大理白族自治州,530000,大理,2,3,100.22567,25.589449,,
,321300,拉萨市,540000,拉萨,2,3,91.13221,29.66036,,
,330100,汉中市,610000,汉中,2,3,107.028618,33.077667,,
,330200,甘南藏族自治州,620000,甘南,2,3,102.911011,34.986355,,
,330300,海东市,630000,海东,2,3,102.103271,36.502914,,
,330400,吴忠市,640000,吴忠,2,3,106.199409,37.986164,,
,330500,阿勒泰地区,650000,阿勒泰,2,3,88.139633,47.848392,,
,330600,嘉义市,710000,嘉义,2,3,121.509064,25.044333,,
,330700,新界,810000,新界,2,3,114.173355,22.320047,,
,330900,晋中市,140000,晋中,2,4,112.736465,37.696495,,
,340200,鹤岗市,230000,鹤岗,2,4,130.277481,47.332085,,
,340500,池州市,340000,池州,2,4,117.489159,30.656036,,
,340600,宁德市,350000,宁德,2,4,119.527084,26.659241,,
,340700,景德镇市,360000,景德镇,2,4,117.214661,29.292561,,
,341000,济源市,410000,济源,2,4,112.59005,35.090378,,
,341100,黄石市,420000,黄石,2,4,115.077049,30.220074,,
,341500,防城港市,450000,防城港,2,4,108.345474,21.614632,,
,341600,澄迈县,460000,澄迈,2,4,110.007149,19.737095,,
,341800,六盘水市,520000,六盘水,2,4,104.846741,26.584642,,
,350100,德宏傣族景颇族自治州,530000,德宏,2,4,98.578362,24.436693,,
,350200,林芝地区,540000,林芝,2,4,94.36235,29.654694,,
,350300,商洛市,610000,商洛,2,4,109.939774,33.86832,,
,350400,嘉峪关市,620000,嘉峪关,2,4,98.277306,39.78653,,
,350500,海南藏族自治州,630000,海南藏族,2,4,100.619545,36.280354,,
,350600,银川市,640000,银川,2,4,106.278175,38.46637,,
,350700,巴音郭楞蒙古自治州,650000,巴音郭楞,2,4,86.15097,41.768551,,
,350800,嘉义县,710000,嘉义,2,4,121.509064,25.044333,,
,360200,鄂尔多斯市,150000,鄂尔多斯,2,5,109.990288,39.817181,,
,360300,丹东市,210000,丹东,2,5,124.383041,40.124294,,
,360400,辽源市,220000,辽源,2,5,125.145348,42.902691,,
,360500,黑河市,230000,黑河,2,5,127.499023,50.249584,,
,360700,丽水市,330000,丽水,2,5,119.921783,28.451994,,
,360900,莆田市,350000,莆田,2,5,119.007561,25.431011,,
,370200,荆门市,420000,荆门,2,5,112.204254,31.035419,,
,370600,儋州市,460000,儋州,2,5,109.576782,19.517487,,
,370700,德阳市,510000,德阳,2,5,104.398651,31.127991,,
,370800,黔东南苗族侗族自治州,520000,黔东南,2,5,107.977486,26.583351,,
,370900,迪庆藏族自治州,530000,迪庆,2,5,99.706467,27.826853,,
,371000,那曲地区,540000,那曲,2,5,92.060211,31.476004,,
,371100,铜川市,610000,铜川,2,5,108.979607,34.91658,,
,371200,金昌市,620000,金昌,2,5,102.187889,38.514236,,
,371300,海西蒙古族藏族自治州,630000,海西,2,5,97.370789,37.374664,,
,371400,中卫市,640000,中卫,2,5,105.189568,37.51495,,
,371500,博尔塔拉蒙古自治州,650000,博尔塔拉,2,5,82.074776,44.903259,,
,371600,基隆市,710000,基隆,2,5,121.509064,25.044333,,
,410100,吕梁市,140000,吕梁,2,6,111.134338,37.524364,,
,410200,呼和浩特市,150000,呼和浩特,2,6,111.670799,40.81831,,
,410300,抚顺市,210000,抚顺,2,6,123.921112,41.875957,,
,410400,四平市,220000,四平,2,6,124.370789,43.170345,,
,410500,佳木斯市,230000,佳木斯,2,6,130.361633,46.809605,,
,411100,漯河市,410000,漯河,2,6,114.026405,33.575855,,
,411300,娄底市,430000,娄底,2,6,112.008499,27.728136,,
,411400,河源市,440000,河源,2,6,114.6978,23.746265,,
,411600,定安县,460000,定安,2,6,110.349236,19.684965,,
,411700,甘孜藏族自治州,510000,甘孜,2,6,101.963814,30.050663,,
,420100,黔南布依族苗族自治州,520000,黔南,2,6,107.517159,26.258219,,
,420300,日喀则地区,540000,日喀则,2,6,88.885147,29.267519,,
,420600,酒泉市,620000,酒泉,2,6,98.510796,39.744022,,
,420700,黄南藏族自治州,630000,黄南,2,6,102.019989,35.517742,,
,420800,昌吉回族自治州,650000,昌吉,2,6,87.304008,44.014576,,
,420900,金门县,710000,金门,2,6,121.509064,25.044333,,
,421000,秦皇岛市,130000,秦皇岛,2,7,119.586578,39.942532,,
,421100,朔州市,140000,朔州,2,7,112.433388,39.331261,,
,421200,呼伦贝尔市,150000,呼伦贝尔,2,7,119.758171,49.215332,,
,421300,阜新市,210000,阜新,2,7,121.648964,42.011795,,
,422800,松原市,220000,松原,2,7,124.823608,45.118244,,
,429004,鸡西市,230000,鸡西,2,7,130.975967,45.300045,,
,429006,衢州市,330000,衢州,2,7,118.872627,28.941708,,
,430100,三明市,350000,三明,2,7,117.635002,26.265444,,
,430200,萍乡市,360000,萍乡,2,7,113.852188,27.622946,,
,430300,莱芜市,370000,莱芜,2,7,117.677734,36.214397,,
,430500,潜江市,420000,潜江,2,7,112.896866,30.421215,,
,430800,河池市,450000,河池,2,7,108.062103,24.695898,,
,430900,东方市,460000,东方,2,7,108.653786,19.10198,,
,431000,广安市,510000,广安,2,7,106.633369,30.456398,,
,431100,黔西南布依族苗族自治州,520000,黔西南,2,7,104.897972,25.08812,,
,431300,山南地区,540000,山南,2,7,91.766525,29.236023,,
,440100,兰州市,620000,兰州,2,7,103.823555,36.058041,,
,440200,西宁市,630000,西宁,2,7,101.778915,36.623177,,
,440300,哈密地区,650000,哈密,2,7,93.513161,42.833248,,
,440400,连江县,710000,连江,2,7,121.509064,25.044333,,
,440700,通辽市,150000,通辽,2,8,122.263123,43.617428,,
,440800,葫芦岛市,210000,葫芦岛,2,8,120.856392,40.755573,,
,440900,通化市,220000,通化,2,8,125.936501,41.721176,,
,441200,牡丹江市,230000,牡丹江,2,8,129.618607,44.582962,,
,441500,淮北市,340000,淮北,2,8,116.794662,33.971706,,
,441600,厦门市,350000,厦门,2,8,118.110222,24.490475,,
,442000,神农架林区,420000,神农架,2,8,114.298569,30.584354,,
,442101,湘潭市,430000,湘潭,2,8,112.944054,27.829729,,
,445200,贺州市,450000,贺州,2,8,111.552055,24.414141,,
,445300,海口市,460000,海口,2,8,110.331192,20.031971,,
,450100,广元市,510000,广元,2,8,105.829758,32.433666,,
,450200,铜仁市,520000,铜仁,2,8,109.191551,27.718346,,
,450300,丽江市,530000,丽江,2,8,100.233025,26.872108,,
,450500,临夏回族自治州,620000,临夏,2,8,103.212006,35.599445,,
,450600,玉树藏族自治州,630000,玉树,2,8,97.008522,33.004047,,
,450700,和田地区,650000,和田,2,8,79.925331,37.110687,,
,450800,苗栗县,710000,苗栗,2,8,121.509064,25.044333,,
,451000,忻州市,140000,忻州,2,9,112.733536,38.41769,,
,451100,乌海市,150000,乌海,2,9,106.825562,39.673733,,
,451200,锦州市,210000,锦州,2,9,121.135742,41.11927,,
,451300,延边朝鲜族自治州,220000,延边朝鲜族,2,9,129.513229,42.904823,,
,460300,淮南市,340000,淮南,2,9,117.018326,32.647575,,
,469002,新余市,360000,新余,2,9,114.930832,27.810835,,
,469006,十堰市,420000,十堰,2,9,110.787918,32.646908,,
,469007,湘西土家族苗族自治州,430000,湘西,2,9,109.739738,28.314297,,
